Submitted on,Technical Name,Name,Original performer,Original date performed,Video link,Start position,End position,Difficulty,Description,Do you have any tips?
09/03/2025 10:11:07,Double Sick Nasty,Double Nasty,Ian Eisenberg,18/02/2024,https://www.instagram.com/p/C3furPNsZIc/,SOFA,SOFA,8,Like a Sick Nasty but keep it going and add another one.,
09/03/2025 10:11:57,Almighty back flop,Almighty Flop,Tim Odermatt ,31/08/2023,https://www.instagram.com/reel/CwnMBX5sCYd/,STAND,KOREAN,7,Do a almighty when you finish the rotation di a backflop,
09/03/2025 10:13:24,Front Nevermighty,,Ian Eisenberg,20/02/2024,https://www.instagram.com/p/C3lT84kM27H/,NEVERMIND,EXPOSURE,7,Almighty from Nevermind,
09/03/2025 10:16:24,FS 180 Front Nevermighty,,Ian Eisenberg,20/02/2024,https://www.instagram.com/p/C3lT84kM27H/,NEVERMIND,EXPOSURE,8,FS 180 Almighty from Nevermind.,
09/03/2025 10:22:02,Backbounce back almighty 360,Backbounce back almighty 360,Tim Odermatt ,10/10/2023,https://www.instagram.com/reel/CyN294oMgMv/,BACK,STAND,9,"Start from backbounce get up, hook your foot under the line and do a 360 back almighty ",
09/03/2025 10:22:59,FS 360 Nevermighty,,Ian Eisenberg,20/02/2024,https://www.instagram.com/p/C3lT84kM27H/,NEVERMIND,EXPOSURE,8,360 Almighty from Nevermind.,
09/03/2025 10:25:46,Front Yoda Rewind 180,Yoda Rewind 180,Tim Odermatt ,01/11/2023,https://www.instagram.com/reel/CzG-hrAskPz/,EXPOSURE,EXPOSURE,8,Do a frot yoda roll rewind but add a 180 at the last roll.,
09/03/2025 10:28:33,Orbital Backflip,,Ian Eisenberg,28/03/2024,https://www.instagram.com/p/C5EmPf-sdCi/,STAND,STAND,8,Start with an Orbital and finish with a Backflip.,
09/03/2025 10:35:31,Shoulder-Vader to Shoulder,Invader,Ian Eisenberg,13/04/2024,https://www.instagram.com/p/C5tVw_BsUmx/,SHOULDER,SHOULDER,8,Shoulder-Vader but not going to feet but to Shoulder.,
09/03/2025 10:41:34,On-Handed Orbital to feet,On-Handed Orbital,Tim Odermatt ,18/04/2024,https://www.instagram.com/reel/C56Gqsuselh/,STAND,STAND,7,Do an orbital but only use one hand to get the line to your feet again.,
09/03/2025 10:46:40,Double Dislocator ,Double Dislocator,Tim Odermatt ,09/07/2024,https://www.instagram.com/reel/C9Nbr3xMQTq/,ROCKET,EXPOSURE,8,Go to dislocator from there do a double roll to feet ,
10/03/2025 10:50:52,No hook back almighty ,Back imposible ,Tim Odermatt ,22/12/2024,https://www.instagram.com/reel/DD5O08MoepV/,STAND,STAND,9,A back almighty but without putting the hook,You need a lot of tension and maybe some bungees.
10/03/2025 10:54:22,No hands front sofa roll to feet ,Sofa impossible ,Tim Odermatt ,11/01/2025,https://www.instagram.com/reel/DEr5xmMoeTx/,SOFA,EXPOSURE,8,"Do a front sofa roll but don’t use the hands, throw yourself at the top, do the roll and catch the line with your feet.",
10/03/2025 11:11:31,Backbounce 180 spin backbounce ,Turtle Bros,Gon Caturelli,30/01/2023,https://www.instagram.com/reel/CoCwNEPDmd1/,BACK,BACK,5,"From backbounce gran the line behind your head, pull so you start spinning on a horizontal axis. End facing the other anchor in backbounce",
10/03/2025 11:13:50,Resurrection 180,Llamarada Yisus,Gon Caturelli,30/01/2023,https://www.instagram.com/reel/CoCwNEPDmd1/,YISUS,EXPOSURE,7,From yisus do a resurrection motion but add a 180 to land on your feet.,
10/03/2025 11:20:10,Backbounce 360 spin to korean,Tortuga Koreana / korean turtle,Gon Caturelli,12/04/2023,https://www.instagram.com/reel/Cq8MTfKum12/,BACK,KOREAN,6,From backbounce grab the line behind your head and do a 360 spin to end in korean.,
10/03/2025 11:30:21,Shoulder resurrection ,Shoulder resurrection ,Gon Caturelli,31/07/2023,https://www.instagram.com/reel/CvXWB58sjX4/,SHOULDER,EXPOSURE,7,From shoulder go to yisus and from there do a resurrection ,
11/03/2025 20:21:01,Rocket Orbital to Feet,,Ian Eisenberg,21/05/2024,https://www.instagram.com/p/C7PGtbltFCM/,ROCKET,EXPOSURE,7,From Rocket Mount you do the second half of the Orbital motion and land to feet.,
11/03/2025 20:31:30,FS 540 Rocket Mount,,Ian Eisenberg,29/06/2024,https://www.instagram.com/p/C8zNkF0sWpo/,ROCKET,EXPOSURE,8,"There are multiple ways to do this one, but one version is to do a Full Rocket followed by a Rocket 180 to Feet, meaning that the first 360 spin you do with the line at chest height and then go to feet on the finishing 180.",
11/03/2025 20:34:55,Reverse Rocket Mount Late 180,,Ian Eisenberg,30/06/2024,https://www.instagram.com/p/C817747Mly3/,ROCKET,EXPOSURE,6,"Reverse Rocket Mount but just before putting both feet on the line as you would normally, spin 180 and land in Expo.",
11/03/2025 20:37:27,540 Sick Nasty,5Nasty,Ian Eisenberg,30/06/2024,https://www.instagram.com/p/C817747Mly3/,SOFA,SOFA,6,Begin with a Tre-Nasty but then regrab with your hands and add another 180 in the end.,
