Submitted on,Technical Name,Name,Original performer,Original date performed,Video link,Start position,End position,Difficulty,Description,Do you have any tips?
07/03/2025 16:03:20,Double super sonic. Rocket to double front yoda ,Emil Doppel-Wumms / david double sonic,Emil ,04/10/2023,https://www.instagram.com/reel/Cx_HE9SsTFX/,ROCKET,EXPOSURE,10,"Go to rocket, kick with your feet to start a super sonic and add an extra front yoda roll.",
07/03/2025 16:06:24,Makako to feet from rocket ,Reverse darth Vader?,Sakalomo,04/10/2023,https://www.instagram.com/reel/Cx_HE9SsTFX/,ROCKET,EXPOSURE,10,"Go to rocket, then kick like you would for a Makako, rotate to land on your feet.",
07/03/2025 16:12:27,Makako feet to feet ,King Kong,Sakalomo,21/01/2024,https://www.instagram.com/reel/C2XluUNMUEV/,STAND,EXPOSURE,10,"With a big bounce , grab the line while starting a roll backwards and from there kick like you would on a Makako. Put both feet on the line to land in expo ",
08/03/2025 09:04:07,Eclipse without touching the line to sofa ,Space eclipse to sofa ,Sakalomo ,08/09/2024,https://www.instagram.com/reel/C_p2waaMiEy/,STAND,SOFA,8,"Do a eclipse bot don’t use your hands to move the line, let the high tension bring the line back down and go to sofa.","You need the right setup, some bungees and a lot of tensión on the line."
08/03/2025 09:06:14,Orbital to Double Drop Knee,,Ian Eisenberg,12/08/2025,https://www.instagram.com/p/Cjkb1LXrFci/,STAND,DOUBLE DROPKNEE,7,"Just do everything as you would for the Orbital to Feet, but then go to Double Drop Knee (or Crook).",
08/03/2025 09:09:57,A sushi pop no hands but leaving the line completely at some point,Space sushi ,Sakalomo,08/09/2024,https://www.instagram.com/reel/C_p2waaMiEy/,STAND,STAND,6,"When you go up before reaching the top let go of the line with your feet, the line should do a sushi pop motion, with the high tensión you should go up while the line stops touching your body. Aim again with your feet to step on the line.",You need the right setup up. Some bungees and a lot of tension on the line.
08/03/2025 09:14:31,Darth Vader from Shoulder,Shoulder Vader,Ian Eisenberg,02/03/2023,https://www.instagram.com/p/CpSmWVMNfNC/,SHOULDER,EXPOSURE,8,From Shoulder you initiate a Back Shoulder Roll but then you quickly let go with the far hand and turn more sideways. From there you finish with a Darth Vader.,
08/03/2025 09:15:08,Sushi pop no hands from sofa late 360 to korean,Space sushi late 360,Sakalomo,08/09/2024,https://www.instagram.com/reel/C_p2waaMiEy/,STAND,KOREAN,8,"Do a sushi pop no hands to sofa, then when you stop touching the line do a late 360, grab the line and end in korean.",You need the right setup. Some bungees and a lot of tension on the line.
08/03/2025 09:23:00,Front almighty with no hook,Impossible,Sakalomo,08/09/2024,https://www.instagram.com/reel/C_p2waaMiEy/,EXPOSURE,EXPOSURE,10,"Do a front almighty but don’t use the foot to hook, just push the line to the side,  do the front flip and almost at the end of the rotation put your feet again to land in exposure.",You need the right setup. Some bungees and a lot of tension in the line.
08/03/2025 09:23:20,180 Sick Nasty Roll,Freak Nasty Roll,Ian Eisenberg,17/04/2023,https://www.instagram.com/p/CrJd3OYPBmz/,SOFA,SOFA,7,Start with a Sick Nasty but add a 180 spin and finish with a Sick Nasty Roll,
08/03/2025 09:29:54,Space eclipse to double drop knee ,Space eclipse to DDK,Tim odermatt ,08/09/2024,https://www.instagram.com/reel/C_p2waaMiEy/,STAND,DROPKNEE,10,"Do a eclipse but don’t touch the line with your hands, once the line goes around you land on DDK",You need the right setup. Some bungees and a lot of tension.
08/03/2025 09:32:21,Eclipse fett to feet without using the hands.,Space eclipse ,Sakalomo,08/09/2024,https://www.instagram.com/reel/C_p2waaMiEy/,STAND,STAND,10,Do an eclipse but don’t touch the line with your hands. Once the line goes around out your feet again. The timing of the kick is key.,
08/03/2025 09:32:34,180 Boomerang to Feet,Nerd Flip,Ian Eisenberg,13/05/2023,https://www.instagram.com/p/CsL-QT4ucWR/,SOFA,EXPOSURE,9,Start with a normal Boomerang but instead of finishing it with a Sick Nasty Roll you finish it with a Rubiks Cube.,
08/03/2025 09:37:49,Darth Vader from Double Drop Knee,Kneisenvader,Ian Eisenberg,23/05/2023,https://www.instagram.com/p/Cslw6UhMg6d/,DOUBLE DROPKNEE,EXPOSURE,8,From Double Drop Knee Roll to the front until you are in the Rocket position and then use the momentum to finish with a Darth Vader,
08/03/2025 09:44:23,Supersonic to Darth Vader,Supervader,Ian Eisenberg,03/07/2023,https://www.instagram.com/p/CuPrkp_Psrw/,ROCKET,EXPOSURE,9,Supersonic to Darth Vader... Not much else to say here!,
08/03/2025 09:48:33,360 Supersonic,,Ian Eisenberg,13/07/2023,https://www.instagram.com/p/C-GAIBNskkO/,ROCKET,EXPOSURE,9,Supersonic with a 360.,
08/03/2025 09:52:37,Darth kako with extra yoda roll ,Sauron,Sakalomo,10/10/2024,https://www.instagram.com/reel/DA8FTrJs5jp/,NEVERMIND,EXPOSURE,10,"Go to nevermind, from there start a darth kako, on mice you get the roll add another yoda roll. Land in exposure",
08/03/2025 09:57:57,Sakalorbital without touching the line with your hands ,Space sakalorbital,Sakalomo,26/10/2024,https://www.instagram.com/reel/DBllnO2shH7/,STAND,STAND,10,"Do a sakalorbital by kicking the line almost at the highest point of the bounce, rotate 180 let the line go around you and land again on your feet. ",
08/03/2025 09:59:08,FS 540 Back Almighty,,Ian Eisenberg,30/07/2023,https://www.instagram.com/p/CvUuGMUruQ3/,STAND,STAND,9,Just watch the video.. It's hard to describe :D,
08/03/2025 10:03:12,180 Eisenvader,Apocalypse,Ian Eisenberg,06/08/2023,https://www.instagram.com/p/Cvmt1bFNrhg/,EXPOSURE,EXPOSURE,9,Start with a normal Eisenvader but as soon as you are in the Rocket position you turn 180 and regrab the line to finish with a Reverse Rocket Mount.,
08/03/2025 10:06:11,180 Reverse Supersonic,,Samuel Volery,09/08/2023,https://www.instagram.com/p/CvuP3_usiQD/,ROCKET,EXPOSURE,8,From Rocket you immediately spin 180 and regrab the line and then finish with a Reverse Supersonic.,
